N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
113,롯데쇼핑,"95,900","6,200",+6.91%,"5,000","27,129","28,289",11.12,"213,661",-10.19,-7.70,
114,한화에어로스페이스,"52,200",100,+0.19%,"5,000","26,429","50,630",19.86,"546,263",9.48,4.78,
115,동서,"26,450",0,0.00%,500,"26,371","99,700",2.88,"51,486",23.26,8.05,
116,포스코인터내셔널,"21,300",0,0.00%,"5,000","26,279","123,375",6.53,"688,980",7.28,10.86,
117,두산퓨얼셀,"40,000",0,0.00%,100,"26,197","65,494",14.76,"273,190",800.00,4.18,
118,하이트진로,"37,300",50,+0.13%,"5,000","26,160","70,134",6.48,"307,837",50.82,8.23,
119,현대해상,"29,100",50,-0.17%,500,"26,015","89,400",26.79,"220,568",6.80,7.13,
120,신세계,"262,500","9,000",+3.55%,"5,000","25,844","9,845",25.16,"61,515",8.42,8.54,
121,씨에스윈드,"61,100",600,-0.97%,500,"25,767","42,171",10.71,"335,454",55.44,8.19,
122,제일기획,"22,300",0,0.00%,200,"25,654","115,041",31.49,"116,958",15.51,15.58,
123,OCI,"107,500",500,-0.46%,"5,000","25,638","23,849",14.24,"191,025",3.96,23.93,
124,에스원,"67,400",300,+0.45%,500,"25,611","37,999",53.04,"23,453",19.85,9.13,
125,대우조선해양,"23,750",0,0.00%,"5,000","25,482","107,291",4.56,"362,966",-1.50,-55.86,
126,한화생명,"2,915",45,+1.57%,"5,000","25,318","868,530",7.67,"1,455,700",3.31,1.90,
127,DL이앤씨,"130,500","1,000",+0.77%,"5,000","25,263","19,359",22.65,"239,253",N/A,N/A,
128,BNK금융지주,"7,660",40,+0.52%,"5,000","24,967","325,935",39.95,"817,138",3.06,6.11,
129,키움증권,"94,600","1,200",+1.28%,"5,000","24,804","26,220",25.46,"47,471",2.72,27.63,
130,CJ,"81,500","2,300",+2.90%,"5,000","23,779","29,177",17.41,"43,997",70.62,1.89,
131,한화,"30,700",350,+1.15%,"5,000","23,012","74,959",15.87,"104,575",5.19,4.79,
132,한솔케미칼,"201,000","5,500",+2.81%,"5,000","22,784","11,335",41.00,"106,292",15.36,23.88,
133,녹십자,"194,000","2,000",+1.04%,"5,000","22,672","11,687",22.51,"32,009",26.28,7.48,
134,효성첨단소재,"484,000","8,500",+1.79%,"5,000","21,683","4,480",7.60,"23,326",8.65,54.69,
135,KODEX 레버리지,"19,290",540,+2.88%,0,"21,296","110,400",2.54,"22,788,903",N/A,N/A,
136,현대로템,"19,300",350,+1.85%,"5,000","21,064","109,142",3.89,"422,940",67.25,2.84,
137,한샘,"88,800","1,000",+1.14%,"1,000","20,898","23,534",15.53,"125,266",26.13,10.83,
138,만도,"43,950",800,+1.85%,"1,000","20,638","46,957",19.55,"293,813",9.26,0.37,
139,휠라홀딩스,"33,950","1,050",+3.19%,"1,000","20,625","60,752",41.71,"201,282",8.77,10.94,
140,효성티앤씨,"475,000","8,500",+1.82%,"5,000","20,556","4,328",12.07,"28,508",2.67,76.22,
141,신풍제약,"38,650",50,-0.13%,500,"20,479","52,985",4.75,"1,233,691","6,441.67",1.72,
142,SK케미칼,"116,000","3,500",+3.11%,"5,000","20,440","17,621",17.94,"60,865",55.29,30.49,
143,롯데정밀화학,"78,400",700,+0.90%,"5,000","20,227","25,800",20.56,"63,146",3.45,30.43,
144,현대차우,"82,700",700,+0.85%,"5,000","20,143","24,357",57.69,"58,751",4.63,N/A,
